,Log_Post_Quantidade_Somado,Login_Quantidade,Assignment_View_Quantidade_Somado,Turno_TempoUsoTotal_Somado,Numero_Dias_Acessados_Modulo_Somado,Log_View_Quantidade_Somado,Evadido,CodigoTurma
691,0,7,1,5088,6,50,1,7411
692,4,5,3,9022,15,80,1,7411
693,40,6,9,30844,21,199,1,7411
694,4,6,7,22087,20,160,1,7411
695,1,0,8,8455,8,65,1,7411
696,0,7,8,16335,19,141,1,7411
697,6,10,5,40573,24,314,0,7411
698,8,12,9,56800,32,428,1,7411
699,6,7,15,14036,16,120,0,7411
700,0,3,4,7379,12,47,0,7411
701,0,6,8,6680,14,84,1,7411
702,2,6,7,16195,12,147,0,7411
703,1,0,3,10414,8,71,1,7411
704,1,2,0,3022,3,41,1,7411
705,3,16,11,32205,18,365,0,7411
706,0,0,0,9477,13,62,1,7411
707,2,1,1,6406,9,67,1,7411
708,0,0,0,10217,6,63,1,7411
709,0,1,1,2377,4,9,1,7411
710,1,3,8,14814,12,75,1,7411
711,0,0,4,20735,9,125,1,7411
712,10,14,11,19949,20,158,1,7411
713,0,3,0,3547,7,22,1,7411
714,0,9,9,9759,13,68,0,7411
715,0,4,12,14403,12,133,0,7411
716,77,33,7,102355,29,618,0,7411
717,9,27,11,91029,37,592,0,7411
718,44,20,10,57502,28,437,0,7411
719,17,40,43,62841,29,492,1,7411
720,21,16,14,47070,22,370,0,7411
721,45,28,20,57074,35,674,0,7411
722,12,11,18,35696,23,363,1,7411
723,26,7,14,19708,14,204,0,7411
724,4,31,12,62972,33,585,0,7411
725,29,7,9,65814,22,404,0,7411
726,5,8,9,59242,23,503,0,7411
727,5,8,9,59242,23,503,0,7411
728,11,12,21,42007,23,352,1,7411
729,11,0,2,13725,5,120,1,7411
730,24,23,32,44848,21,464,0,7411
731,5,21,20,91579,39,626,0,7411
732,0,12,15,33836,16,240,0,7411
733,12,7,12,36886,18,345,1,7411
734,0,0,0,0,1,1,1,7411
